date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:24:38	4715/4715	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202024%2017:51:57%20GMT	https://kaisermann.me/cdn-cgi/l/email-protection	C:/website/clone/clone24/kaisermann.me/cdn-cgi/l/email-protection.html	(from https://kaisermann.me/)
23:24:38	20537/20537	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202024%2017:51:57%20GMT	https://kaisermann.me/playlists/	C:/website/clone/clone24/kaisermann.me/playlists/index.html	(from https://kaisermann.me/)
23:24:38	18307/18307	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202024%2017:51:58%20GMT	https://kaisermann.me/websites/	C:/website/clone/clone24/kaisermann.me/websites/index.html	(from https://kaisermann.me/)
23:24:39	2546/2546	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2002%20Sep%202024%2017:51:59%20GMT	https://kaisermann.me/resume	C:/website/clone/clone24/kaisermann.me/resume.d.delayed	(from https://kaisermann.me/)
23:24:40	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266ce24be-4d7%22	https://kaisermann.me/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/website/clone/clone24/kaisermann.me/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://kaisermann.me/)
23:24:40	7785/7785	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202024%2017:51:59%20GMT	https://kaisermann.me/resume/	C:/website/clone/clone24/kaisermann.me/resume/index.html	(from https://kaisermann.me/)
23:24:40	22824/22824	---MCZ	200	added ('OK')	application/javascript	etag:W/%22edb417c539a3d1bd302992b83704f714-ssl-df%22	https://kaisermann.me/assets/main.entry.cc5728b424.js	C:/website/clone/clone24/kaisermann.me/assets/main.entry.cc5728b424.js	(from https://kaisermann.me/)
23:24:41	11971/11971	---MCZ	200	added ('OK')	application/javascript	etag:W/%226520aeb1-2ec3%22	https://rum.cronitor.io/script.js	C:/website/clone/clone24/rum.cronitor.io/script.js	(from https://kaisermann.me/)
23:24:42	5232/5232	---M--	200	added ('OK')	image/jpeg	etag:%22eac9300eb9fc635c43575f60faf579b4-ssl%22	https://kaisermann.me/assets/images/me.jpg	C:/website/clone/clone24/kaisermann.me/assets/images/me.jpg	(from https://kaisermann.me/assets/main.entry.c940d9edf9.css)
23:24:43	80219/80219	---M--	200	added ('OK')	image/gif	etag:%22ad5f2296540031d6873897c166305f5d-ssl%22	https://kaisermann.me/assets/images/effect-static.gif	C:/website/clone/clone24/kaisermann.me/assets/images/effect-static.gif	(from https://kaisermann.me/assets/main.entry.c940d9edf9.css)
23:24:43	83025/83025	---M--	200	added ('OK')	image/gif	etag:%226d67cb36437d2ce0905658fc19278dcb-ssl%22	https://kaisermann.me/assets/images/effect-artifacts.gif	C:/website/clone/clone24/kaisermann.me/assets/images/effect-artifacts.gif	(from https://kaisermann.me/assets/main.entry.c940d9edf9.css)
23:24:44	36629/36629	---M--	200	added ('OK')	image/jpeg	etag:%22b8ba686e8573f1af0b1b8fbced12e095-ssl%22	https://kaisermann.me/assets/images/stars.jpg	C:/website/clone/clone24/kaisermann.me/assets/images/stars.jpg	(from https://kaisermann.me/assets/main.entry.c940d9edf9.css)
23:24:44	19220/19220	---M--	200	added ('OK')	image/webp	etag:%2227ed2ffd1088052b67daaaebcb1be9af-ssl%22	https://kaisermann.me/assets/images/stars.webp	C:/website/clone/clone24/kaisermann.me/assets/images/stars.webp	(from https://kaisermann.me/assets/main.entry.c940d9edf9.css)
23:24:45	13524/13524	---M--	200	added ('OK')	image/avif	etag:%227ea3c804587e68021686f2981d3aa8f8-ssl%22	https://kaisermann.me/assets/images/stars.avif	C:/website/clone/clone24/kaisermann.me/assets/images/stars.avif	(from https://kaisermann.me/assets/main.entry.c940d9edf9.css)
23:24:46	4125/4125	---M--	200	added ('OK')	image/png	etag:%22ddde939b52a7b3ada559d9eb58092d39-ssl%22	https://kaisermann.me/assets/images/plastic-texture-noise.png	C:/website/clone/clone24/kaisermann.me/assets/images/plastic-texture-noise.png	(from https://kaisermann.me/assets/main.entry.c940d9edf9.css)
23:24:47	4468/4468	---MCZ	200	added ('OK')	text/css	etag:W/%22a010ab68b807f3cd000d441e126dca95-ssl-df%22	https://kaisermann.me/assets/styles/markdown.entry.d656d3db43.css	C:/website/clone/clone24/kaisermann.me/assets/styles/markdown.entry.d656d3db43.css	(from https://kaisermann.me/resume/)
23:24:47	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Sep%202024%2017:52:07%20GMT	https://kaisermann.me/resume/%5Bhttps:///%5D(https://getcircuit.com/)	C:/website/clone/clone24/kaisermann.me/resume/[https_/](https_/getcircuit.com/)	(from https://kaisermann.me/resume/)
